  TEMP    TSUSC     CSUSC NSUSC       BULKS    FERRT    FERRB   TIME         
  23.1   -169.9      3.38 0.790         0.0      0.0      0.0      0      0.0
  24.7   -169.8      3.48 0.813         0.0      0.0      0.0     24    0.000
  30.3   -169.7      3.58 0.836         0.0      0.0      0.0     47    0.000
  37.3   -170.1      3.18 0.743         0.0      0.0      0.0     69    0.000
  44.3   -169.8      3.48 0.813         0.0      0.0      0.0     92        5
  50.5   -169.6      3.68 0.860         0.0      0.0      0.0    115   0/1200
  56.8   -169.8      3.48 0.813         0.0      0.0      0.0    138        0
  61.2   -169.8      3.77 0.881         0.0      0.0      0.0    161        0
  67.2   -170.0      3.65 0.853         0.0      0.0      0.0    184        0
  72.7   -169.9      3.77 0.881         0.0      0.0      0.0    207     0.00
  77.7   -170.3      3.32 0.776         0.0      0.0      0.0    229     0.00
  82.9   -170.1      3.53 0.825         0.0      0.0      0.0    252     0.00
  87.6   -170.4      3.32 0.776         0.0      0.0      0.0    275     0.00
  92.4   -169.9      3.79 0.886         0.0      0.0      0.0    298     0.00
  97.6   -169.7      4.02 0.939         0.0      0.0      0.0    320     0.00
 102.4   -170.0      3.68 0.860         0.0      0.0      0.0    343     0.00
 107.4   -170.0      3.82 0.893         0.0      0.0      0.0    366     0.00
 112.4   -170.0      3.78 0.883         0.0      0.0      0.0    389     0.00
 118.0   -170.0      3.84 0.897         0.0      0.0      0.0    411     0.00
 123.0   -170.3      3.55 0.829         0.0      0.0      0.0    434         
 128.3   -170.1      3.74 0.874         0.0      0.0      0.0    457         
 133.1   -170.1      3.81 0.890         0.0      0.0      0.0    479         
 138.2   -170.1      3.85 0.900         0.0      0.0      0.0    503  -62.982
 143.3   -170.1      3.82 0.893         0.0      0.0      0.0    526  -99.622
 148.1   -170.1      3.92 0.916         0.0      0.0      0.0    548      -48
 153.4   -170.2      3.83 0.895         0.0      0.0      0.0    571    -0.99
 158.5   -170.3      3.79 0.886         0.0      0.0      0.0    594       40
 163.6   -170.0      3.99 0.932         0.0      0.0      0.0    617      189
 168.8   -170.2      3.80 0.888         0.0      0.0      0.0    639        0
 174.2   -170.3      3.73 0.871         0.0      0.0      0.0    662    0.000
 179.3   -170.2      3.80 0.888         0.0      0.0      0.0    685    0.000
 184.2   -170.1      3.94 0.921         0.0      0.0      0.0    708        0
 189.0   -169.9      4.28 1.000         0.0      0.0      0.0    730     0.00
 193.9   -170.3      3.82 0.893         0.0      0.0      0.0    753        0
 199.6   -170.7      3.39 0.792         0.0      0.0      0.0    776        0
 205.3   -170.2      3.92 0.916         0.0      0.0      0.0    798        0
 211.3   -170.3      3.85 0.900         0.0      0.0      0.0    821        0
 216.5   -170.1      4.11 0.960         0.0      0.0      0.0    844      0.0
 222.3   -170.5      3.70 0.864         0.0      0.0      0.0    867      0.0
 228.3   -170.2      4.08 0.953         0.0      0.0      0.0    890      0.0
 234.1   -170.4      3.84 0.897         0.0      0.0      0.0    913      0.0
 239.6   -170.2      4.11 0.960         0.0      0.0      0.0    935      0.0
 244.5   -170.9      3.49 0.815         0.0      0.0      0.0    958      0.0
 249.5   -170.4      4.03 0.942         0.0      0.0      0.0    981      0.0
 254.5   -170.8      3.64 0.850         0.0      0.0      0.0   1004      0.0
 259.5   -170.7      3.81 0.890         0.0      0.0      0.0   1027      0.0
 264.8   -170.8      3.71 0.867         0.0      0.0      0.0   1049      0.0
 269.8   -170.6      3.87 0.904         0.0      0.0      0.0   1072         
 274.5   -171.1      3.38 0.790         0.0      0.0      0.0   1095         
 279.2   -171.1      3.40 0.794         0.0      0.0      0.0   1118         
 284.8   -170.9      3.59 0.839         0.0      0.0      0.0   1140         
 290.1   -171.2      3.24 0.757         0.0      0.0      0.0   1164         
 296.0   -171.0      3.51 0.820         0.0      0.0      0.0   1187         
 306.7   -171.4      3.15 0.736         0.0      0.0      0.0   1232         
 312.1   -171.2      3.34 0.780         0.0      0.0      0.0   1255         
 317.7   -171.2      3.38 0.790         0.0      0.0      0.0   1278         
 323.4   -171.4      3.20 0.748         0.0      0.0      0.0   1301         
 328.5   -171.7      2.84 0.664         0.0      0.0      0.0   1323         
 333.0   -171.6      2.99 0.699         0.0      0.0      0.0   1347         
 336.1   -171.9      2.72 0.636         0.0      0.0      0.0   1369         
 339.8   -171.5      2.91 0.680         0.0      0.0      0.0   1392         
 344.4   -171.7      2.85 0.666         0.0      0.0      0.0   1415         
 350.1   -172.0      2.47 0.577         0.0      0.0      0.0   1438         
 356.7   -171.7      2.73 0.638         0.0      0.0      0.0   1461         
 364.7   -172.0      2.51 0.586         0.0      0.0      0.0   1483         
 379.3   -171.9      2.57 0.600         0.0      0.0      0.0   1529         
 386.0   -172.2      2.30 0.537         0.0      0.0      0.0   1552         
 392.9   -172.1      2.48 0.579         0.0      0.0      0.0   1575         
 404.5   -172.2      2.53 0.591         0.0      0.0      0.0   1620         
 409.2   -172.0      2.68 0.626         0.0      0.0      0.0   1643         
 413.9   -171.7      3.02 0.706         0.0      0.0      0.0   1666         
 419.1   -172.1      2.61 0.610         0.0      0.0      0.0   1689         
 424.1   -172.1      2.74 0.640         0.0      0.0      0.0   1712         
 428.5   -171.8      3.01 0.703         0.0      0.0      0.0   1735         
 432.3   -171.8      3.08 0.720         0.0      0.0      0.0   1757         
 436.1   -171.7      3.20 0.748         0.0      0.0      0.0   1780         
 441.4   -172.2      2.72 0.636         0.0      0.0      0.0   1803         
 446.4   -172.2      2.75 0.643         0.0      0.0      0.0   1826         
 457.1   -172.2      2.70 0.631         0.0      0.0      0.0   1872         
 462.1   -171.9      3.00 0.701         0.0      0.0      0.0   1895         
 467.4   -171.6      3.38 0.790         0.0      0.0      0.0   1918         
 472.5   -171.5      3.58 0.836         0.0      0.0      0.0   1941         
 476.7   -171.6      3.49 0.815         0.0      0.0      0.0   1963         
 482.3   -172.0      3.10 0.724         0.0      0.0      0.0   1986         
 487.7   -171.3      3.84 0.897         0.0      0.0      0.0   2009         
 493.1   -172.0      3.17 0.741         0.0      0.0      0.0   2032         
 497.9   -171.3      3.99 0.932         0.0      0.0      0.0   2055         
 503.0   -171.5      3.89 0.909         0.0      0.0      0.0   2078         
 508.1   -171.9      3.43 0.801         0.0      0.0      0.0   2101         
 513.9   -171.4      4.06 0.949         0.0      0.0      0.0   2124         
 518.1   -171.2      4.24 0.991         0.0      0.0      0.0   2147         
 522.6   -171.8      3.62 0.846         0.0      0.0      0.0   2169         
 527.8   -171.8      3.55 0.829         0.0      0.0      0.0   2192         
 533.0   -172.1      3.39 0.792         0.0      0.0      0.0   2215         
 538.4   -172.3      3.23 0.755         0.0      0.0      0.0   2238         
 543.6   -171.8      3.70 0.864         0.0      0.0      0.0   2261         
 549.1   -172.6      2.91 0.680         0.0      0.0      0.0   2283         
 554.6   -172.1      3.54 0.827         0.0      0.0      0.0   2306         
 558.6   -172.3      3.22 0.752         0.0      0.0      0.0   2329         
 563.5   -172.1      3.51 0.820         0.0      0.0      0.0   2353         
 569.4   -172.9      2.71 0.633         0.0      0.0      0.0   2376         
 574.0   -172.5      3.20 0.748         0.0      0.0      0.0   2398         
 578.6   -172.8      2.96 0.692         0.0      0.0      0.0   2421         
 583.6   -173.3      2.57 0.600         0.0      0.0      0.0   2444         
 588.5   -173.6      2.32 0.542         0.0      0.0      0.0   2467         
 594.1   -174.0      1.93 0.451         0.0      0.0      0.0   2489         
 599.4   -173.6      2.37 0.554         0.0      0.0      0.0   2512         
 603.1   -173.9      2.11 0.493         0.0      0.0      0.0   2535         
 607.5   -174.0      2.11 0.493         0.0      0.0      0.0   2558         
 612.5   -174.1      2.08 0.486         0.0      0.0      0.0   2581         
 617.5   -173.9      2.32 0.542         0.0      0.0      0.0   2605         
