  TEMP    TSUSC     CSUSC NSUSC       BULKS    FERRT    FERRB   TIME  emptyf4
  29.3    174.4      0.00 0.000           0        0        0      0        0
  29.8    176.7      0.00 0.000           0        0        0     16        0
  31.6    188.8      0.00 0.000           0        0        0     31        0
  35.0    205.7      0.00 0.000           0        0        0     46        0
  38.9    223.7      0.00 0.000           0        0        0     61        0
  43.3    241.1      0.00 0.000           0        0        0     76        0
  48.2    257.8      0.00 0.000           0        0        0     93        0
  53.1    275.1      0.00 0.000           0        0        0    110        0
  57.8    288.8      0.00 0.000           0        0        0    126        0
  62.2    302.6      0.00 0.000           0        0        0    143        0
  66.2    312.4      0.00 0.000           0        0        0    160        0
  69.8    322.9      0.00 0.000           0        0        0    176        0
  73.5    331.2      0.00 0.000           0        0        0    193        0
  76.6    339.1      0.00 0.000           0        0        0    209        0
  80.0    346.5      0.00 0.000           0        0        0    226        0
  83.4    354.4      0.00 0.000           0        0        0    243        0
  86.6    360.9      0.00 0.000           0        0        0    259        0
  89.7    366.8      0.00 0.000           0        0        0    276        0
  92.6    372.0      0.00 0.000           0        0        0    293        0
  95.8    373.3      0.00 0.000           0        0        0    309        0
  98.4    374.7      0.00 0.000           0        0        0    326        0
 101.3    373.5      0.00 0.000           0        0        0    343        0
 104.2    369.9      0.00 0.000           0        0        0    359        0
 107.1    365.1      0.00 0.000           0        0        0    376        0
 109.8    355.8      0.00 0.000           0        0        0    392        0
 112.7    344.0      0.00 0.000           0        0        0    409        0
 115.3    330.6      0.00 0.000           0        0        0    426        0
 118.2    317.4      0.00 0.000           0        0        0    442        0
 121.2    298.4      0.00 0.000           0        0        0    459        0
 123.8    278.4      0.00 0.000           0        0        0    475        0
 126.7    254.0      0.00 0.000           0        0        0    492        0
 129.4    235.2      0.00 0.000           0        0        0    507        0
 132.3    210.2      0.00 0.000           0        0        0    522        0
 135.0    184.2      0.00 0.000           0        0        0    537        0
 137.9    159.8      0.00 0.000           0        0        0    552        0
 140.6    137.6      0.00 0.000           0        0        0    568        0
 143.5    115.9      0.00 0.000           0        0        0    583        0
 146.5     96.4      0.00 0.000           0        0        0    598        0
 149.4     79.4      0.00 0.000           0        0        0    613        0
 152.1     64.1      0.00 0.000           0        0        0    628        0
 155.1     50.0      0.00 0.000           0        0        0    643        0
 158.0     37.0      0.00 0.000           0        0        0    659        0
 161.0     25.7      0.00 0.000           0        0        0    674        0
 163.6     15.8      0.00 0.000           0        0        0    689        0
 166.9      6.5      0.00 0.000           0        0        0    704        0
 169.8     -1.9      0.00 0.000           0        0        0    719        0
 172.8     -8.8      0.00 0.000           0        0        0    734        0
 175.8    -14.9      0.00 0.000           0        0        0    749        0
 178.5    -20.1      0.00 0.000           0        0        0    764        0
 181.4    -24.9      0.00 0.000           0        0        0    779        0
 184.4    -29.8      0.00 0.000           0        0        0    794        0
 187.4    -33.9      0.00 0.000           0        0        0    810        0
 190.4    -37.4      0.00 0.000           0        0        0    825        0
 193.4    -40.9      0.00 0.000           0        0        0    840        0
 196.4    -44.4      0.00 0.000           0        0        0    855        0
 199.3    -46.8      0.00 0.000           0        0        0    870        0
 202.3    -49.2      0.00 0.000           0        0        0    885        0
 205.3    -52.2      0.00 0.000           0        0        0    900        0
 208.3    -53.5      0.00 0.000           0        0        0    916        0
 211.3    -56.0      0.00 0.000           0        0        0    931        0
 214.6    -59.0      0.00 0.000           0        0        0    946        0
 217.6    -60.3      0.00 0.000           0        0        0    961        0
 220.6    -61.5      0.00 0.000           0        0        0    976        0
 223.9    -63.3      0.00 0.000           0        0        0    991        0
 226.9    -65.3      0.00 0.000           0        0        0   1006        0
 230.0    -66.6      0.00 0.000           0        0        0   1021        0
 233.0    -68.4      0.00 0.000           0        0        0   1037        0
 236.3    -69.2      0.00 0.000           0        0        0   1052        0
 239.3    -70.5      0.00 0.000           0        0        0   1067        0
 242.9    -71.4      0.00 0.000           0        0        0   1082        0
 245.9    -72.2      0.00 0.000           0        0        0   1097        0
 249.2    -73.2      0.00 0.000           0        0        0   1112        0
 252.6    -74.3      0.00 0.000           0        0        0   1127        0
 255.6    -75.4      0.00 0.000           0        0        0   1143        0
 258.7    -76.4      0.00 0.000           0        0        0   1158        0
 261.7    -77.4      0.00 0.000           0        0        0   1173        0
 265.0    -78.5      0.00 0.000           0        0        0   1188        0
 268.4    -79.7      0.00 0.000           0        0        0   1203        0
 271.2    -81.2      0.00 0.000           0        0        0   1218        0
 274.2    -81.9      0.00 0.000           0        0        0   1233        0
 277.3    -82.8      0.00 0.000           0        0        0   1248        0
 280.3    -84.1      0.00 0.000           0        0        0   1264        0
 283.4    -84.3      0.00 0.000           0        0        0   1279        0
 286.8    -84.9      0.00 0.000           0        0        0   1294        0
 289.9    -85.9      0.00 0.000           0        0        0   1309        0
 293.2    -86.4      0.00 0.000           0        0        0   1324        0
 296.3    -86.7      0.00 0.000           0        0        0   1339        0
 299.4    -86.9      0.00 0.000           0        0        0   1354        0
 302.5    -87.9      0.00 0.000           0        0        0   1369        0
 305.3    -89.0      0.00 0.000           0        0        0   1384        0
 308.7    -88.9      0.00 0.000           0        0        0   1400        0
 311.5    -89.7      0.00 0.000           0        0        0   1415        0
 314.6    -90.1      0.00 0.000           0        0        0   1430        0
 317.4    -89.9      0.00 0.000           0        0        0   1445        0
 320.5    -91.4      0.00 0.000           0        0        0   1460        0
 323.6    -91.8      0.00 0.000           0        0        0   1476        0
 326.8    -92.3      0.00 0.000           0        0        0   1491        0
 329.9    -92.8      0.00 0.000           0        0        0   1506        0
 333.3    -92.9      0.00 0.000           0        0        0   1521        0
 337.0    -94.2      0.00 0.000           0        0        0   1536        0
 340.4    -94.1      0.00 0.000           0        0        0   1551        0
 343.8    -95.0      0.00 0.000           0        0        0   1566        0
 346.9    -94.4      0.00 0.000           0        0        0   1581        0
 350.4    -96.1      0.00 0.000           0        0        0   1597        0
 353.5    -96.2      0.00 0.000           0        0        0   1612        0
 356.9    -97.0      0.00 0.000           0        0        0   1627        0
 360.1    -96.5      0.00 0.000           0        0        0   1642        0
 363.8    -97.9      0.00 0.000           0        0        0   1657        0
 367.0    -98.2      0.00 0.000           0        0        0   1672        0
 370.4    -98.8      0.00 0.000           0        0        0   1688        0
 373.6    -99.3      0.00 0.000           0        0        0   1703        0
 377.0    -99.8      0.00 0.000           0        0        0   1718        0
 380.2   -100.2      0.00 0.000           0        0        0   1733        0
 383.7    -99.8      0.00 0.000           0        0        0   1748        0
 386.9   -100.8      0.00 0.000           0        0        0   1763        0
 389.7   -101.1      0.00 0.000           0        0        0   1778        0
 393.5   -100.9      0.00 0.000           0        0        0   1793        0
 396.7   -101.9      0.00 0.000           0        0        0   1809        0
 399.9   -102.1      0.00 0.000           0        0        0   1824        0
 402.8   -102.3      0.00 0.000           0        0        0   1839        0
 406.0   -103.2      0.00 0.000           0        0        0   1854        0
 408.9   -103.2      0.00 0.000           0        0        0   1869        0
 412.1   -103.7      0.00 0.000           0        0        0   1885        0
 415.3   -104.4      0.00 0.000           0        0        0   1900        0
 418.8   -105.1      0.00 0.000           0        0        0   1915        0
 421.8   -105.1      0.00 0.000           0        0        0   1930        0
 425.0   -106.2      0.00 0.000           0        0        0   1946        0
 428.2   -106.7      0.00 0.000           0        0        0   1961        0
 431.1   -106.8      0.00 0.000           0        0        0   1976        0
 434.1   -108.0      0.00 0.000           0        0        0   1991        0
 437.3   -108.7      0.00 0.000           0        0        0   2006        0
 440.5   -109.0      0.00 0.000           0        0        0   2021        0
 444.1   -109.9      0.00 0.000           0        0        0   2037        0
 447.3   -110.3      0.00 0.000           0        0        0   2052        0
 450.6   -111.0      0.00 0.000           0        0        0   2067        0
 453.5   -111.0      0.00 0.000           0        0        0   2082        0
 456.2   -111.0      0.00 0.000           0        0        0   2097        0
 459.1   -112.1      0.00 0.000           0        0        0   2113        0
 462.1   -112.9      0.00 0.000           0        0        0   2128        0
 465.1   -113.0      0.00 0.000           0        0        0   2143        0
 467.7   -113.3      0.00 0.000           0        0        0   2158        0
 470.7   -112.9      0.00 0.000           0        0        0   2173        0
 473.4   -113.9      0.00 0.000           0        0        0   2189        0
 475.8   -114.5      0.00 0.000           0        0        0   2204        0
 478.5   -114.5      0.00 0.000           0        0        0   2219        0
 481.4   -114.6      0.00 0.000           0        0        0   2234        0
 484.1   -114.3      0.00 0.000           0        0        0   2249        0
 486.8   -115.4      0.00 0.000           0        0        0   2265        0
 489.5   -115.9      0.00 0.000           0        0        0   2280        0
 492.2   -116.0      0.00 0.000           0        0        0   2295        0
 494.9   -116.2      0.00 0.000           0        0        0   2310        0
 497.6   -116.4      0.00 0.000           0        0        0   2325        0
 500.3   -117.1      0.00 0.000           0        0        0   2340        0
 503.6   -117.4      0.00 0.000           0        0        0   2356        0
 506.9   -117.9      0.00 0.000           0        0        0   2371        0
 509.9   -118.3      0.00 0.000           0        0        0   2386        0
 513.3   -118.8      0.00 0.000           0        0        0   2401        0
 516.0   -119.4      0.00 0.000           0        0        0   2416        0
 518.7   -119.8      0.00 0.000           0        0        0   2431        0
 521.7   -120.3      0.00 0.000           0        0        0   2447        0
 524.5   -120.8      0.00 0.000           0        0        0   2462        0
 527.2   -121.4      0.00 0.000           0        0        0   2477        0
 529.9   -122.2      0.00 0.000           0        0        0   2492        0
 533.0   -122.3      0.00 0.000           0        0        0   2508        0
 536.3   -123.3      0.00 0.000           0        0        0   2523        0
 539.3   -124.2      0.00 0.000           0        0        0   2538        0
 542.7   -125.1      0.00 0.000           0        0        0   2553        0
 545.8   -126.2      0.00 0.000           0        0        0   2568        0
 548.8   -126.7      0.00 0.000           0        0        0   2584        0
 551.9   -129.1      0.00 0.000           0        0        0   2599        0
 555.2   -131.2      0.00 0.000           0        0        0   2614        0
 558.0   -133.2      0.00 0.000           0        0        0   2629        0
 560.8   -134.6      0.00 0.000           0        0        0   2644        0
