  TEMP    TSUSC     CSUSC NSUSC       BULKS    FERRT    FERRB   TIMEty-holder
  29.6   -107.6     70.60 0.163         0.0      0.0      0.0      0      0.0
  33.6   -105.5     72.71 0.168         0.0      0.0      0.0     27    0.000
  40.4   -101.7     76.57 0.177         0.0      0.0      0.0     52    0.000
  47.7    -98.8     79.52 0.183         0.0      0.0      0.0     78    0.000
  54.4    -95.6     82.60 0.191         0.0      0.0      0.0    103        5
  61.3    -92.7     85.33 0.197         0.0      0.0      0.0    129   0/1200
  67.2    -89.7     88.32 0.204         0.0      0.0      0.0    154        0
  73.0    -86.2     91.95 0.212         0.0      0.0      0.0    180        0
  78.3    -83.5     94.54 0.218         0.0      0.0      0.0    206        0
  83.2    -80.4     97.63 0.225         0.0      0.0      0.0    232     0.00
  87.9    -76.9    101.23 0.234         0.0      0.0      0.0    258     0.00
  92.9    -73.8    104.34 0.241         0.0      0.0      0.0    283     0.00
  97.6    -71.1    107.04 0.247         0.0      0.0      0.0    309     0.00
 102.2    -67.9    110.29 0.254         0.0      0.0      0.0    335     0.00
 106.9    -64.6    113.58 0.262         0.0      0.0      0.0    361     0.00
 111.8    -61.1    117.15 0.270         0.0      0.0      0.0    386     0.00
 116.5    -56.0    122.36 0.282         0.0      0.0      0.0    412     0.00
 121.2    -53.2    125.04 0.288         0.0      0.0      0.0    438     0.00
 125.7    -49.0    129.06 0.298         0.0      0.0      0.0    464     0.00
 130.2    -43.7    134.19 0.310         0.0      0.0      0.0    489         
 134.7    -38.6    139.24 0.321         0.0      0.0      0.0    515         
 139.4    -34.0    143.98 0.332         0.0      0.0      0.0    541         
 144.3    -27.9    150.13 0.346         0.0      0.0      0.0    567  264.595
 148.9    -21.4    156.70 0.362         0.0      0.0      0.0    592  473.755
 153.4    -14.8    164.20 0.379         0.0      0.0      0.0    618      192
 158.3     -6.8    172.09 0.397         0.0      0.0      0.0    644     0.95
 163.5      1.9    180.45 0.416         0.0      0.0      0.0    669       41
 168.2     11.0    189.52 0.437         0.0      0.0      0.0    695      399
 173.8     21.4    199.83 0.461         0.0      0.0      0.0    721        0
 178.7     31.6    209.25 0.483         0.0      0.0      0.0    747    0.000
 183.7     41.6    219.65 0.507         0.0      0.0      0.0    773    0.000
 189.0     49.8    228.14 0.526         0.0      0.0      0.0    798        0
 194.1     56.4    234.52 0.541         0.0      0.0      0.0    824     0.00
 199.6     60.1    238.29 0.550         0.0      0.0      0.0    850        0
 205.3     59.7    238.23 0.550         0.0      0.0      0.0    875        0
 210.9     54.0    232.27 0.536         0.0      0.0      0.0    901        0
 216.8     43.2    221.05 0.510         0.0      0.0      0.0    927        0
 222.7     29.0    207.17 0.478         0.0      0.0      0.0    953      0.0
 228.6     12.8    191.08 0.441         0.0      0.0      0.0    978      0.0
 234.4     -3.7    174.74 0.403         0.0      0.0      0.0   1004      0.0
 240.0    -20.7    157.89 0.364         0.0      0.0      0.0   1030      0.0
 245.7    -35.4    143.25 0.330         0.0      0.0      0.0   1056      0.0
 251.0    -46.9    131.98 0.304         0.0      0.0      0.0   1082      0.0
 256.0    -56.9    121.32 0.280         0.0      0.0      0.0   1107      0.0
 261.3    -65.1    113.19 0.261         0.0      0.0      0.0   1133      0.0
 266.1    -71.5    106.79 0.246         0.0      0.0      0.0   1159      0.0
 271.2    -77.1    101.28 0.234         0.0      0.0      0.0   1185      0.0
 275.7    -81.1     97.05 0.224         0.0      0.0      0.0   1210         
 280.3    -84.4     94.24 0.217         0.0      0.0      0.0   1236         
 285.1    -87.9     90.68 0.209         0.0      0.0      0.0   1262         
 290.0    -91.3     87.26 0.201         0.0      0.0      0.0   1288         
 295.6    -94.3     84.28 0.194         0.0      0.0      0.0   1314         
 301.5    -96.5     82.11 0.189         0.0      0.0      0.0   1339         
 306.8    -98.7     79.90 0.184         0.0      0.0      0.0   1365         
 312.2   -100.0     78.66 0.181         0.0      0.0      0.0   1391         
 317.1   -101.7     77.18 0.178         0.0      0.0      0.0   1417         
 322.2   -103.6     75.11 0.173         0.0      0.0      0.0   1442         
 327.3   -105.5     73.32 0.169         0.0      0.0      0.0   1468         
 332.1   -107.1     71.67 0.165         0.0      0.0      0.0   1494         
 337.1   -109.2     69.44 0.160         0.0      0.0      0.0   1520         
 341.8   -111.3     67.36 0.155         0.0      0.0      0.0   1546         
 346.2   -113.5     65.33 0.151         0.0      0.0      0.0   1571         
 350.9   -116.0     62.97 0.145         0.0      0.0      0.0   1597         
 355.8   -118.6     60.04 0.139         0.0      0.0      0.0   1623         
 360.8   -121.1     57.94 0.134         0.0      0.0      0.0   1649         
 365.8   -123.4     55.70 0.129         0.0      0.0      0.0   1674         
 370.7   -125.5     53.52 0.123         0.0      0.0      0.0   1700         
 375.3   -127.0     51.95 0.120         0.0      0.0      0.0   1726         
 379.6   -128.4     50.51 0.117         0.0      0.0      0.0   1752         
 385.1   -129.2     49.50 0.114         0.0      0.0      0.0   1778         
 390.0   -131.2     47.47 0.110         0.0      0.0      0.0   1803         
 395.0   -130.8     47.80 0.110         0.0      0.0      0.0   1829         
 399.3   -128.8     49.84 0.115         0.0      0.0      0.0   1855         
 404.1   -123.7     54.97 0.127         0.0      0.0      0.0   1881         
 409.5   -120.0     58.80 0.136         0.0      0.0      0.0   1906         
 414.4   -111.8     67.02 0.155         0.0      0.0      0.0   1932         
 419.7    -99.7     78.93 0.182         0.0      0.0      0.0   1958         
 424.8    -81.0     97.74 0.225         0.0      0.0      0.0   1984         
 429.7    -56.8    121.89 0.281         0.0      0.0      0.0   2010         
 434.5    -33.1    145.25 0.335         0.0      0.0      0.0   2035         
 439.5    -10.6    167.88 0.387         0.0      0.0      0.0   2061         
 444.5      9.4    187.59 0.433         0.0      0.0      0.0   2087         
 449.7     23.2    201.41 0.465         0.0      0.0      0.0   2112         
 454.4     42.2    220.57 0.509         0.0      0.0      0.0   2138         
 458.8     59.2    237.81 0.549         0.0      0.0      0.0   2164         
 463.1     72.3    250.77 0.579         0.0      0.0      0.0   2190         
 467.9     77.6    256.97 0.593         0.0      0.0      0.0   2215         
 472.8     76.8    255.94 0.590         0.0      0.0      0.0   2241         
 477.6     77.4    256.63 0.592         0.0      0.0      0.0   2267         
 482.2     73.9    252.62 0.583         0.0      0.0      0.0   2293         
 487.1     67.9    247.31 0.571         0.0      0.0      0.0   2319         
 491.9     61.1    240.00 0.554         0.0      0.0      0.0   2345         
 496.4     49.1    228.10 0.526         0.0      0.0      0.0   2370         
 501.5     32.5    211.53 0.488         0.0      0.0      0.0   2396         
 506.8     18.3    198.00 0.457         0.0      0.0      0.0   2422         
 511.0      9.2    188.48 0.435         0.0      0.0      0.0   2447         
 515.8     -4.6    174.74 0.403         0.0      0.0      0.0   2473         
 520.5    -18.8    160.36 0.370         0.0      0.0      0.0   2499         
 525.7    -35.2    143.74 0.332         0.0      0.0      0.0   2525         
 531.0    -50.7    128.26 0.296         0.0      0.0      0.0   2550         
 536.3    -64.1    114.95 0.265         0.0      0.0      0.0   2576         
 541.2    -73.0    106.19 0.245         0.0      0.0      0.0   2602         
 546.7    -77.9    101.39 0.234         0.0      0.0      0.0   2627         
 551.7    -79.9     99.75 0.230         0.0      0.0      0.0   2653         
 556.5    -84.8     94.58 0.218         0.0      0.0      0.0   2679         
 561.8    -95.6     83.70 0.193         0.0      0.0      0.0   2705         
 568.0   -117.9     61.56 0.142         0.0      0.0      0.0   2730         
 574.0   -136.1     43.66 0.101         0.0      0.0      0.0   2756         
