  TEMP    TSUSC     CSUSC	 NSUSC       BULKS    FERRT    FERRB   TIME  jrpsept
  24.7   -173.2      2.70	 0.020         0.0      0.0      0.0      0      0.0
  26.7   -176.1     -0.20	-0.001         0.0      0.0      0.0     24    0.000
  32.7   -177.2     -1.26	-0.009         0.0      0.0      0.0     47    0.000
  40.2   -175.9      0.06	 0.000         0.0      0.0      0.0     70    0.000
  47.4   -176.1     -0.08	-0.001         0.0      0.0      0.0     93        5
  54.2   -176.1     -0.18	-0.001         0.0      0.0      0.0    115   0/1200
  59.1   -176.0      0.01	 0.000         0.0      0.0      0.0    138        0
  65.4   -176.1     -0.05	 0.000         0.0      0.0      0.0    161        0
  71.1   -176.3     -0.28	-0.002         0.0      0.0      0.0    184        0
  76.9   -176.3     -0.25	-0.002         0.0      0.0      0.0    206     0.00
  82.1   -176.2     -0.03	 0.000         0.0      0.0      0.0    230     0.00
  87.4   -176.3     -0.21	-0.002         0.0      0.0      0.0    252     0.00
  92.1   -176.2     -0.10	-0.001         0.0      0.0      0.0    275     0.00
  97.4   -176.2     -0.05	 0.000         0.0      0.0      0.0    298     0.00
 102.4   -176.2     -0.03	 0.000         0.0      0.0      0.0    320     0.00
 107.4   -176.1      0.06	 0.000         0.0      0.0      0.0    343     0.00
 112.4   -176.2      0.04	 0.000         0.0      0.0      0.0    366     0.00
 117.7   -176.3     -0.10	-0.001         0.0      0.0      0.0    389     0.00
 122.8   -176.2      0.02	 0.000         0.0      0.0      0.0    411     0.00
 128.3   -176.3     -0.03	 0.000         0.0      0.0      0.0    434         
 133.4   -176.2      0.11	 0.001         0.0      0.0      0.0    456         
 138.5   -176.2      0.15	 0.001         0.0      0.0      0.0    479         
 143.3   -176.2      0.19	 0.001         0.0      0.0      0.0    50231691.650
 148.6   -176.4      0.11	 0.001         0.0      0.0      0.0    52555732.960
 153.4   -176.2      0.23	 0.002         0.0      0.0      0.0    547     1168
 158.0   -176.3      0.14	 0.001         0.0      0.0      0.0    570    -0.04
 162.8   -176.6     -0.16	-0.001         0.0      0.0      0.0    593       51
 168.0   -176.3      0.07	 0.001         0.0      0.0      0.0    616      482
 173.1   -176.4     -0.12	-0.001         0.0      0.0      0.0    638        0
 178.7   -176.3      0.02	 0.000         0.0      0.0      0.0    661    0.000
 184.4   -176.5     -0.13	-0.001         0.0      0.0      0.0    684    0.000
 189.6   -176.4     -0.12	-0.001         0.0      0.0      0.0    707        0
 194.7   -176.4     -0.05	 0.000         0.0      0.0      0.0    730     0.00
 199.6   -176.4      0.09	 0.001         0.0      0.0      0.0    753        0
 205.3   -176.4      0.03	 0.000         0.0      0.0      0.0    775        0
 210.5   -176.3      0.12	 0.001         0.0      0.0      0.0    798        0
 216.5   -176.3      0.02	 0.000         0.0      0.0      0.0    821        0
 222.3   -176.6     -0.24	-0.002         0.0      0.0      0.0    844      0.0
 228.0   -176.2      0.28	 0.002         0.0      0.0      0.0    867      0.0
 233.5   -175.3      1.23	 0.009         0.0      0.0      0.0    890      0.0
 239.3   -173.3      3.22	 0.024         0.0      0.0      0.0    913      0.0
 244.8   -171.5      5.26	 0.039         0.0      0.0      0.0    935      0.0
 250.1   -170.0      6.73	 0.050         0.0      0.0      0.0    958      0.0
 255.3   -168.9      7.57	 0.056         0.0      0.0      0.0    981      0.0
 260.6   -168.3      8.27	 0.062         0.0      0.0      0.0   1003      0.0
 266.1   -167.1      9.58	 0.071         0.0      0.0      0.0   1026      0.0
 271.7   -166.5      9.95	 0.074         0.0      0.0      0.0   1049      0.0
 277.3   -165.7     10.92	 0.081         0.0      0.0      0.0   1072         
 282.3   -164.7     12.02	 0.090         0.0      0.0      0.0   1095         
 287.9   -163.1     13.85	 0.103         0.0      0.0      0.0   1117         
 293.8   -161.5     15.24	 0.114         0.0      0.0      0.0   1140         
 299.1   -159.6     17.33	 0.129         0.0      0.0      0.0   1163         
 304.7   -156.6     20.19	 0.151         0.0      0.0      0.0   1186         
 310.4   -153.8     23.13	 0.172         0.0      0.0      0.0   1209         
 316.3   -150.1     26.56	 0.198         0.0      0.0      0.0   1232         
 321.9   -144.8     32.11	 0.239         0.0      0.0      0.0   1254         
 327.6   -140.4     36.77	 0.274         0.0      0.0      0.0   1277         
 333.0   -135.8     41.48	 0.309         0.0      0.0      0.0   1300         
 338.1   -132.3     44.86	 0.335         0.0      0.0      0.0   1323         
 342.9   -127.0     50.06	 0.373         0.0      0.0      0.0   1346         
 348.1   -122.3     54.77	 0.408         0.0      0.0      0.0   1369         
 353.5   -117.6     59.28	 0.442         0.0      0.0      0.0   1392         
 358.7   -114.1     62.72	 0.468         0.0      0.0      0.0   1415         
 363.8   -109.9     66.94	 0.499         0.0      0.0      0.0   1438         
 369.0   -105.6     71.44	 0.533         0.0      0.0      0.0   1461         
 373.9   -102.5     74.46	 0.555         0.0      0.0      0.0   1483         
 378.8    -97.4     79.63	 0.594         0.0      0.0      0.0   1506         
 383.4    -94.1     82.94	 0.618         0.0      0.0      0.0   1529         
 388.3    -89.7     87.47	 0.652         0.0      0.0      0.0   1552         
 392.9    -86.2     90.90	 0.678         0.0      0.0      0.0   1574         
 398.4    -82.5     94.62	 0.706         0.0      0.0      0.0   1597         
 404.3    -77.8     99.34	 0.741         0.0      0.0      0.0   1620         
 409.2    -73.0    104.09	 0.776         0.0      0.0      0.0   1643         
 414.4    -68.9    108.20	 0.807         0.0      0.0      0.0   1666         
 419.7    -65.3    111.83	 0.834         0.0      0.0      0.0   1689         
 425.3    -60.8    116.39	 0.868         0.0      0.0      0.0   1711         
 430.5    -57.8    119.36	 0.890         0.0      0.0      0.0   1734         
 435.5    -54.5    122.56	 0.914         0.0      0.0      0.0   1757         
 440.5    -52.2    124.87	 0.931         0.0      0.0      0.0   1780         
 445.8    -49.8    127.31	 0.949         0.0      0.0      0.0   1803         
