  TEMP    TSUSC     CSUSC NSUSC       BULKS    FERRT    FERRB   TIME   jrpnew
  30.1   -163.4     10.18 0.098         0.0      0.0      0.0      0      0.0
  31.6   -163.3     10.28 0.099         0.0      0.0      0.0     24    0.000
  37.3   -163.5     10.08 0.097         0.0      0.0      0.0     47    0.000
  44.6   -163.3     10.28 0.099         0.0      0.0      0.0     70    0.000
  51.8   -164.1      9.48 0.091         0.0      0.0      0.0     93        5
  58.6   -163.7      9.88 0.095         0.0      0.0      0.0    115   0/1200
  64.9   -164.0      9.58 0.092         0.0      0.0      0.0    138        0
  71.1   -164.0      9.56 0.092         0.0      0.0      0.0    161        0
  76.4   -164.2      9.39 0.090         0.0      0.0      0.0    183        0
  81.9   -164.2      9.40 0.090         0.0      0.0      0.0    206     0.00
  87.1   -164.0      9.59 0.092         0.0      0.0      0.0    229     0.00
  91.8   -165.2      8.42 0.081         0.0      0.0      0.0    252     0.00
  96.8   -163.9      9.72 0.093         0.0      0.0      0.0    275     0.00
 101.8   -164.5      9.10 0.087         0.0      0.0      0.0    297     0.00
 106.9   -164.8      8.82 0.085         0.0      0.0      0.0    320     0.00
 111.4   -164.2      9.44 0.090         0.0      0.0      0.0    343     0.00
 116.4   -164.5      9.12 0.087         0.0      0.0      0.0    366     0.00
 121.2   -165.2      8.54 0.082         0.0      0.0      0.0    388     0.00
 125.9   -165.0      8.71 0.083         0.0      0.0      0.0    411     0.00
 131.3   -165.4      8.33 0.080         0.0      0.0      0.0    434         
 136.1   -165.3      8.45 0.081         0.0      0.0      0.0    457         
 140.6   -165.3      8.37 0.080         0.0      0.0      0.0    480         
 145.7   -165.2      8.55 0.082         0.0      0.0      0.0    503   85.558
 150.8   -165.2      8.55 0.082         0.0      0.0      0.0    526 -788.395
 155.6   -165.8      8.03 0.077         0.0      0.0      0.0    548      -33
 161.0   -165.8      8.06 0.077         0.0      0.0      0.0    571    -0.24
 166.3   -165.6      8.19 0.079         0.0      0.0      0.0    594       40
 171.5   -165.3      8.53 0.082         0.0      0.0      0.0    617      410
 176.9   -165.8      8.02 0.077         0.0      0.0      0.0    639        0
 182.0   -166.0      7.95 0.076         0.0      0.0      0.0    662    0.000
 187.7   -165.9      8.10 0.078         0.0      0.0      0.0    684    0.000
 192.6   -166.0      8.04 0.077         0.0      0.0      0.0    707        0
 198.0   -166.1      7.93 0.076         0.0      0.0      0.0    730     0.00
 203.2   -166.1      7.98 0.076         0.0      0.0      0.0    753        0
 208.6   -166.1      8.03 0.077         0.0      0.0      0.0    776        0
 214.3   -166.1      8.08 0.077         0.0      0.0      0.0    798        0
 220.4   -166.2      8.00 0.077         0.0      0.0      0.0    821        0
 225.8   -166.3      7.91 0.076         0.0      0.0      0.0    844      0.0
 231.9   -166.3      7.91 0.076         0.0      0.0      0.0    867      0.0
