  TEMP    TSUSC     CSUSC NSUSC       BULKS    FERRT    FERRB   TIME   jrpnew
  27.0   -172.3      1.28 0.006         0.0      0.0      0.0      0      0.0
  28.5   -172.1      1.48 0.007         0.0      0.0      0.0     24    0.000
  33.2   -172.3      1.28 0.006         0.0      0.0      0.0     47    0.000
  39.9   -172.4      1.18 0.005         0.0      0.0      0.0     70    0.000
  46.1   -172.3      1.28 0.006         0.0      0.0      0.0     93        5
  52.6   -172.5      1.08 0.005         0.0      0.0      0.0    116   0/1200
  58.3   -172.6      0.98 0.004         0.0      0.0      0.0    138        0
  63.8   -171.9      1.68 0.007         0.0      0.0      0.0    161        0
  69.3   -172.5      1.06 0.005         0.0      0.0      0.0    184        0
  74.8   -172.6      0.99 0.004         0.0      0.0      0.0    207     0.00
  80.0   -172.6      1.03 0.005         0.0      0.0      0.0    230     0.00
  85.0   -172.5      1.10 0.005         0.0      0.0      0.0    253     0.00
  90.3   -172.4      1.19 0.005         0.0      0.0      0.0    276     0.00
  95.3   -172.4      1.23 0.005         0.0      0.0      0.0    299     0.00
 100.5   -172.5      1.12 0.005         0.0      0.0      0.0    322     0.00
 106.1   -172.6      0.98 0.004         0.0      0.0      0.0    345     0.00
 110.8   -172.6      1.04 0.005         0.0      0.0      0.0    367     0.00
 116.1   -172.3      1.32 0.006         0.0      0.0      0.0    390     0.00
 120.9   -171.8      1.94 0.009         0.0      0.0      0.0    413     0.00
 125.9   -172.9      0.81 0.004         0.0      0.0      0.0    435         
 131.3   -172.5      1.23 0.005         0.0      0.0      0.0    458         
 135.8   -172.4      1.35 0.006         0.0      0.0      0.0    481         
 140.6   -172.8      0.87 0.004         0.0      0.0      0.0    503 5600.260
 145.7   -172.7      1.05 0.005         0.0      0.0      0.0    52618484.440
 150.5   -172.7      1.05 0.005         0.0      0.0      0.0    549     3837
 155.3   -173.0      0.82 0.004         0.0      0.0      0.0    572     0.90
 160.4   -173.1      0.76 0.003         0.0      0.0      0.0    595       40
 165.3   -172.9      0.90 0.004         0.0      0.0      0.0    618      314
 170.4   -172.9      0.93 0.004         0.0      0.0      0.0    640        0
 175.5   -173.0      0.82 0.004         0.0      0.0      0.0    663    0.000
 180.6   -172.8      1.13 0.005         0.0      0.0      0.0    687    0.000
 186.3   -173.5      0.51 0.002         0.0      0.0      0.0    709        0
 191.2   -173.3      0.73 0.003         0.0      0.0      0.0    732     0.00
 196.6   -172.9      1.17 0.005         0.0      0.0      0.0    755        0
 201.8   -173.1      0.92 0.004         0.0      0.0      0.0    778        0
 207.2   -173.2      0.92 0.004         0.0      0.0      0.0    801        0
 212.7   -172.9      1.26 0.006         0.0      0.0      0.0    823        0
 217.9   -173.3      0.91 0.004         0.0      0.0      0.0    846      0.0
 223.6   -173.3      0.90 0.004         0.0      0.0      0.0    869      0.0
 229.4   -173.4      0.81 0.004         0.0      0.0      0.0    892      0.0
 234.9   -173.4      0.81 0.004         0.0      0.0      0.0    916      0.0
 240.4   -173.5      0.72 0.003         0.0      0.0      0.0    939      0.0
 246.2   -173.1      1.10 0.005         0.0      0.0      0.0    962      0.0
 251.5   -173.3      0.90 0.004         0.0      0.0      0.0    985      0.0
 256.4   -173.2      0.94 0.004         0.0      0.0      0.0   1007      0.0
 261.7   -173.4      0.74 0.003         0.0      0.0      0.0   1030      0.0
 267.0   -172.6      1.52 0.007         0.0      0.0      0.0   1054      0.0
 272.5   -172.9      1.22 0.005         0.0      0.0      0.0   1077         
 278.4   -172.6      1.51 0.007         0.0      0.0      0.0   1100         
 283.7   -172.1      2.05 0.009         0.0      0.0      0.0   1123         
 289.6   -171.3      2.87 0.013         0.0      0.0      0.0   1145         
 295.5   -170.4      3.85 0.017         0.0      0.0      0.0   1168         
 300.8   -168.6      5.71 0.025         0.0      0.0      0.0   1191         
 306.1   -167.7      6.68 0.029         0.0      0.0      0.0   1214         
 311.2   -166.7      7.69 0.034         0.0      0.0      0.0   1236         
 316.6   -165.9      8.53 0.038         0.0      0.0      0.0   1259         
 321.9   -164.9      9.56 0.042         0.0      0.0      0.0   1282         
 327.3   -164.4     10.12 0.045         0.0      0.0      0.0   1305         
 333.0   -163.8     10.69 0.047         0.0      0.0      0.0   1328         
 338.4   -163.3     11.18 0.049         0.0      0.0      0.0   1351         
 344.1   -163.0     11.47 0.051         0.0      0.0      0.0   1373         
 349.2   -165.3      9.20 0.041         0.0      0.0      0.0   1396         
 354.4   -162.4     12.06 0.053         0.0      0.0      0.0   1419         
 359.8   -163.0     11.43 0.050         0.0      0.0      0.0   1443         
 364.7   -162.3     12.12 0.054         0.0      0.0      0.0   1466         
 369.6   -161.8     12.67 0.056         0.0      0.0      0.0   1489         
 374.4   -161.5     12.98 0.057         0.0      0.0      0.0   1512         
 379.6   -161.6     12.92 0.057         0.0      0.0      0.0   1535         
 385.1   -161.6     12.90 0.057         0.0      0.0      0.0   1558         
 390.0   -161.4     13.12 0.058         0.0      0.0      0.0   1581         
 394.7   -161.9     12.63 0.056         0.0      0.0      0.0   1604         
 399.6   -161.3     13.24 0.058         0.0      0.0      0.0   1626         
 404.8   -161.8     12.73 0.056         0.0      0.0      0.0   1649         
 410.7   -161.9     12.71 0.056         0.0      0.0      0.0   1672         
 416.2   -162.4     12.18 0.054         0.0      0.0      0.0   1695         
 421.5   -163.4     11.21 0.049         0.0      0.0      0.0   1717         
 426.7   -164.0     10.68 0.047         0.0      0.0      0.0   1740         
 432.0   -165.3      9.42 0.042         0.0      0.0      0.0   1763         
 437.3   -165.8      8.97 0.040         0.0      0.0      0.0   1786         
 443.2   -167.9      6.83 0.030         0.0      0.0      0.0   1810         
 448.2   -168.2      6.64 0.029         0.0      0.0      0.0   1833         
 453.2   -168.5      6.33 0.028         0.0      0.0      0.0   1856         
 458.0   -168.6      6.22 0.027         0.0      0.0      0.0   1879         
 463.3   -170.6      4.24 0.019         0.0      0.0      0.0   1903         
 468.6   -170.0      4.83 0.021         0.0      0.0      0.0   1925         
 474.6   -170.1      4.75 0.021         0.0      0.0      0.0   1948         
 479.7   -170.2      4.62 0.020         0.0      0.0      0.0   1971         
 484.4   -170.4      4.51 0.020         0.0      0.0      0.0   1994         
 489.5   -170.7      4.17 0.018         0.0      0.0      0.0   2018         
 494.3   -169.6      5.35 0.024         0.0      0.0      0.0   2040         
 499.1   -169.5      5.47 0.024         0.0      0.0      0.0   2063         
 503.9   -168.8      6.26 0.028         0.0      0.0      0.0   2086         
 508.4   -167.9      7.08 0.031         0.0      0.0      0.0   2109         
 513.9   -168.9      6.09 0.027         0.0      0.0      0.0   2131         
 519.9   -167.4      7.65 0.034         0.0      0.0      0.0   2154         
 525.7   -167.7      7.40 0.033         0.0      0.0      0.0   2177         
 531.1   -168.3      6.78 0.030         0.0      0.0      0.0   2201         
 554.3   -168.3      7.01 0.031         0.0      0.0      0.0   2296         
 559.5   -167.6      7.74 0.034         0.0      0.0      0.0   2319         
 564.8   -170.6      4.71 0.021         0.0      0.0      0.0   2343         
 568.8   -168.9      6.47 0.029         0.0      0.0      0.0   2366         
 573.7   -170.1      5.32 0.023         0.0      0.0      0.0   2390         
 578.0   -170.8      4.65 0.021         0.0      0.0      0.0   2413         
 583.3   -174.4      1.11 0.005         0.0      0.0      0.0   2437         
 588.2   -170.7      4.76 0.021         0.0      0.0      0.0   2460         
 593.8   -174.4      1.09 0.005         0.0      0.0      0.0   2484         
 599.1   -173.2      2.34 0.010         0.0      0.0      0.0   2507         
 604.1   -173.6      1.99 0.009         0.0      0.0      0.0   2530         
 609.4   -175.0      0.65 0.003         0.0      0.0      0.0   2553         
 614.7   -171.7      3.95 0.017         0.0      0.0      0.0   2577         
 620.0   -173.4      2.33 0.010         0.0      0.0      0.0   2601         
 624.7   -174.1      1.64 0.007         0.0      0.0      0.0   2624         
 629.1   -174.0      1.75 0.008         0.0      0.0      0.0   2648         
 633.9   -174.3      1.61 0.007         0.0      0.0      0.0   2670         
 638.6   -171.5      4.49 0.020         0.0      0.0      0.0   2694         
