Temp (degree) 	Susc
24.7	405.8
25.2	406.9
27.7	406.7
31.9	408.8
36.5	411.9
41.5	412.4
46.6	415.1
51.1	407.1
55.5	412
59.4	416.5
62.8	416.6
65.9	418.3
69	418.4
72.2	418.5
75.3	418.3
78.4	420.1
81.6	420
84.7	421.2
88.2	421.4
91.3	422.1
94.2	422.8
97.4	422
100.5	423.8
103.2	424
105.8	424.6
108.5	424.6
111.4	425.2
114.5	425.3
117.7	426.9
120.6	426.8
123.8	426.4
126.7	427.6
129.9	428.5
132.9	428.7
135.5	429.8
138.2	431.1
141.1	433.1
143.8	434.3
146.7	435.2
149.7	436.9
153.2	439.1
156.4	441.9
159.9	441.6
163.4	443.4
166.9	445.5
170.1	448.6
173.3	451
176.6	453.4
179.6	456.4
182.5	458.2
185	460.1
187.9	463.3
190.7	466.6
193.4	468.3
195.8	470.4
198.8	472.2
202.1	474.4
204.8	477
208.1	478.1
211.3	480.7
214.9	482.4
218.7	484.5
222.3	486.8
225.8	491.8
229.1	499.8
232.4	513.7
235.7	531.2
238.8	550.2
242.1	561.3
244.8	565.3
247.9	567.5
250.6	567.3
253.4	565.1
255.9	561.8
258.9	558.3
262	554.2
265.6	546.8
268.9	540.9
271.7	534
274.5	526
277.6	521.2
280.9	514
284	506.5
287.1	500
289.9	493.6
292.7	487.9
296	480.3
299.4	473.8
302.5	466.7
305.6	461.6
308.7	456.1
311.5	450.8
314.3	446.5
316.8	441.7
320	438.3
323.4	433.5
326.8	430.3
330.2	423.9
333.6	418.8
336.4	412.1
339.2	406.7
342.7	400.2
346.1	392.5
349.5	383.4
352.6	373.7
355.8	362.8
358.9	345.8
362.1	328.3
365.3	306.4
368.7	279.9
371.9	251.4
374.4	225.9
377.3	199
379.9	173.7
382.2	150.9
384.5	131.8
387.1	115.7
390	100.9
393.2	87.3
396.4	75.4
399	64.8
401.9	55.6
404.8	47.7
407.7	40.5
410.4	34.5
412.7	29.1
415	25.2
417.4	21.1
419.4	18.4
422	15.8
424.7	13.7
427.6	11.8
430.5	10.1
433.2	8.7
435.8	7
438.2	5.8
440.8	4.9
443.2	4.1
446.1	3.4
448.8	3
451.7	2.5
454.7	2.1
458	2.1
460.9	1.9
463.6	1.7
466.6	1.9
469.5	1.9
472.5	2.2
475.2	2.4
477.6	2.6
480.2	3.3
483.2	3.7
486.5	4.7
490.1	5.2
493.4	6.3
496.7	7.2
499.7	8.5
502.7	9.2
505.7	10.9
509	12.1
512.4	13.7
515.7	15.1
518.7	16.8
521.4	17.9
523.9	19.3
526.9	20.6
529.6	22.1
532.7	23.1
535.7	24.5
538.7	25.2
541.5	25.5
544.2	25.4
547	24.3
549.7	23
552.5	20.3
555.2	16.4
558	10.2
561.1	0.7
564.1	-10.3
566.9	-24.7
570	-40.1
572.4	-56.2
575.5	-74.2
578.3	-93.4
581.4	-111.6
584.5	-127.3
587.3	-137.7
590.1	-144.7
593.2	-148.3
596	-150.2
599.1	-150.4
602.2	-150.8
605.3	-151
608.4	-151.5
611.3	-151.4
614.4	-151.6
617.2	-151.9
620	-152
623.5	-151.8
626.6	-151.7
630.1	-152.2
633.5	-152.6
637.3	-152.7
640.8	-152.8
644.3	-152.8
647.8	-152.5
651.2	-152.5
654.7	-152.7
657.6	-152.8
660.8	-152.6
664	-152.7
667.5	-152.7
671	-152.9
674.2	-152.8
677.7	-152.6
680.9	-152.8
684.1	-152.6
687.3	-152.5
690.5	-152.5
693.4	-152.6
696.7	-152.4
699.9	-152.3
702.5	-152.6
704.8	-152.6
706.4	-152.8
707.3	-152.5
708	-152.6
708.3	-152.5
708	-152.4
706.7	-152.4
705.1	-152.4
702.8	-152.5
700.5	-152.4
698.6	-152.5
696.4	-152.4
694.1	-152.3
691.5	-152.2
688.9	-152.3
686.4	-152.3
684.1	-152.3
682.2	-152.4
679.9	-152.2
678	-152.3
675.5	-152.3
672.6	-152.3
670	-152.1
667.5	-152.1
664.9	-152.1
662.7	-152.1
660.1	-152.2
657.6	-152.1
654.7	-152.1
652.2	-152.2
649.3	-151.9
646.8	-151.7
644.6	-152
642.1	-151.9
639.9	-151.9
637	-151.6
634.5	-151.8
632	-151.7
629.4	-152
627.2	-151.6
624.7	-151.7
622.5	-151.7
620.3	-151.7
617.5	-151.8
615	-151.6
612.5	-151.8
610	-151.8
607.2	-151.7
604.7	-151.5
602.2	-151.4
599.7	-151.5
597.2	-151.3
594.4	-151.3
591.9	-151.3
589.1	-151.2
586.4	-150.9
583.6	-150.6
580.5	-150.4
578	-150.1
575.2	-149.9
572.8	-149.4
570.6	-149.3
568.1	-149.1
565.7	-148.9
563.2	-148.6
560.5	-148.4
557.7	-148.4
554.6	-147.8
551.6	-147.8
548.8	-147.7
545.8	-147.8
543	-148.4
540.6	-147.3
537.8	-147.4
535.1	-147.4
531.7	-147.3
528.4	-147
524.8	-147
521.1	-147.1
517.8	-146.7
514.2	-147
511.2	-146.8
508.4	-146.6
505.4	-146.5
502.4	-146.5
499.4	-146.5
496.4	-146.4
493.1	-146.3
489.5	-146.1
486.2	-146.2
482.9	-146.4
480	-146.3
477.3	-145.9
474.9	-146
472.5	-146.1
470.1	-146.1
467.4	-145.8
464.8	-146
461.8	-145.9
458.8	-145.8
455.9	-145.8
452.9	-145.9
