TEMP	CSUSC
27.9	256.26
28.6	256.26
31.8	256.86
35	257.9086
38.6	258.5281
42.4	259.1
46	259.1
49.5	259.7
52.8	259.74
56	260.5621
59.3	260.7371
62.2	261.3253
64.8	261.54
67.7	261.971
70.3	262.2453
72.9	262.9794
75.2	262.9268
77.8	264.037
80.1	263.5894
82.7	264.7155
85.3	264.9696
88	265.76
90.3	266.36
92.6	266.9296
94.9	267.5113
97.5	268.1479
99.8	268.34
102.4	269.54
104.7	269.54
107.7	270.4764
110.3	270.8733
113	271.8038
115.6	272.1495
118.2	273.3105
120.6	273.3287
123.2	274.3087
125.9	274.52
128.5	275.92
131.2	276.14
134.1	277.12
136.5	277.108
139.1	277.6917
141.8	277.81
144.5	278.294
146.8	277.917
149.8	278.12
152.1	277.8689
154.8	277.7507
157.1	277.94
160.2	277.6686
162.8	277.4265
165.5	277.1503
168.2	276.6837
171.2	276.6874
174.3	276.5565
177.3	276.5918
180	276.8364
183	277
185.7	277.5489
188.8	278.3225
191.5	278.76
194.5	279.7337
197.5	280.5244
200.3	281.0529
203.3	281.6524
206.4	282.9085
209.1	283.3315
212.5	284.4683
215.6	284.6518
219	286.111
221.7	286.9322
225.1	288.7
227.8	289.7
231.3	293.7
234.7	303.4324
238.1	323.46
241.2	339.7814
244.7	349.9432
247.8	354.38
250.9	357.9633
254.3	358.6723
257.8	358.6137
260.5	358.7063
263.6	358.5716
266.7	358.6193
269.9	359.8252
272.6	361.06
276.5	364.0816
279.6	366.4943
283.1	370.1387
286.2	373.0963
289.3	376.9
292.8	382.0533
296	388.6229
299.8	400
303	413.5347
306.8	433.8
310.4	458.6625
313.9	490.9513
317	511.5634
320.9	475.9016
324.1	340.32
328	193.9539
330.8	120.12
334.3	70.35145
337.5	44.22001
341.1	30.22
344.6	22.75571
348.2	20.10426
351.4	19.15999
354.9	19.03716
357.8	19.04221
361	19.62001
363.9	19.2084
367.5	20.27499
370.7	20.08359
374.3	20.90149
377.5	20.71333
381.1	21.96001
384.3	21.7993
388.3	22.44563
391.9	22.68199
395.1	23.06
398.4	23.80881
402	23.82001
404.9	24.62001
408.2	24.98651
411.5	25.62645
414.7	26.23729
418	26.31
422	27.58499
426	27.38252
429.7	28.59598
433	29.07669
435.9	29.86624
439.2	30.02
442.5	30.99602
445.8	31.19542
449.1	31.98166
452.4	32.39999
455	32.92731
458.3	33.28923
460.9	34.07819
463.9	34.405
467.2	35.42
470.2	35.8
473.9	37.10001
477.6	37.54799
481.3	38.56667
484.7	38.93547
488.4	40.12151
491.4	40.64215
495.1	41.83268
498.9	42.62
502.6	43.97416
505.6	44.34917
509.4	46.56998
512.7	47.91334
516.5	49.5
519.9	51.32623
522.9	53.33607
525.6	55.3481
528.6	57.31581
532	59.89849
535.8	62.28416
539.2	66.43413
542.6	69.4442
546.4	74.21999
549.5	78.42
552.9	84.42
555.6	89.35412
559	97.0124
561.7	104.24
565.1	115.04
568.2	125.4431
571.7	136.3
575.1	148.72
578.2	161.2164
581.3	173.86
584.8	188.302
587.9	200.0318
591.3	194.4108
594.4	147.6976
597.5	78.86554
601	41.06227
604.1	23.92
607.2	15.76768
610.4	13.23764
612.7	11.47372
615.8	11.2
618.9	10.39999
622.1	11.02852
625.2	10.19814
628.3	10.38371
631.9	10.26874
