Temp 	CSUSC
30.5	12.09999
33.1	12
37.3	12.18422
41.8	12.10001
46.3	12.18054
49.9	12.09999
54.7	12.19167
58.9	12.03104
62.2	12.10001
65.1	11.75517
68.1	11.8
70.7	11.77692
73.9	11.5345
76.5	11.94998
79.1	11.3
81.8	11.58484
84	11.81305
84.4	11.63045
85.7	11.78696
89	11.96956
91.2	11.25
93.9	11.8
96.2	11.96538
98.5	11.54617
101.1	12.07391
104.1	11.32001
107	11.7
110	11.62308
112.6	11.38
116.3	11.87694
119.2	11.28696
122.2	11.57408
124.9	11.21304
128.2	11.4852
132.2	11.5
135.5	11.39999
138.8	11.3
142.1	11.4852
145.5	11.64444
148.8	11.12608
152.5	11.57777
155.5	11.02
158.8	11.39999
161.8	11.5
165.5	11.38002
169.5	11.64848
173.2	11.33549
176.6	11.77666
180.3	11.22353
183.3	11.60001
186.4	11.5
189.4	11.3
193.1	11.59999
196.5	11.57352
199.9	11.92001
204	11.75882
207.4	12
210.8	12.15485
214.9	12.10999
217.9	12.57417
221.7	12.7
224.8	12.88235
228.2	13.39999
231.6	14.3
235.4	20.56317
238.8	31.10001
242.6	40.12943
246	46.90001
249.5	55.44514
253.6	62.42258
256.4	66.53548
259.8	68.61053
263.3	68.83548
266.4	65.54001
269.9	60.82
273	54.45
276.8	47.36563
280.3	40.15883
283.8	34.37142
287.3	27.72858
291.4	22.48856
295.3	18
299.1	14.90858
302.6	13.02904
306.1	11.22
309.7	10.55
313.2	10
316.7	9.599991
320.6	9.300003
323.7	9
327.6	9.020004
331.9	8.741653
335.8	8.864258
339.7	8.451279
342.8	8.71666
347.1	8.23999
350.7	8.348709
354.6	8.309402
359.9	8.464096
363.5	8.455002
367.1	8.228195
372.8	8.099991
376.8	8.32222
380.7	8.037506
384.7	8.264099
388.6	8.030563
392.6	8.57576
397.3	8.53334
400.9	8.283325
404.2	8.100006
407.8	8.28125
411.1	8.124252
414.7	8.061096
418	8.012115
421.6	8.08107
425.7	7.930542
429.3	7.600006
434.1	7.899994
437.4	7.5
442.1	7.691666
446.5	7.300003
449.9	7.518173
453.5	7.800003
456.9	7.199997
460.5	7.524994
465	7.582504
468.7	7.012497
473.1	7.415558
476.9	7.502686
480.6	7.081253
484.3	7.119507
488.4	7.073349
491.8	7.238449
495.9	6.340012
499.6	6.546661
503	6.917633
507.1	6.711761
510.9	7.126663
514.6	6.094131
518.4	6.600006
521.8	5.852646
525.9	6.791183
529.3	6.399994
533.1	6.826477
536.5	6.276306
540.3	6.839478
544.1	6.060516
547.2	5.452621
550.6	7.373688
554.1	5.965225
558.3	6.299988
562.1	6.064713
565.1	6.190475
569	6.351624
572.8	6.05162
576.3	6.608566
579.4	5.8647
583.6	6.100006
587.9	5.754257
592.1	6.218414
595.6	5.638458
599.5	5.925537
603	5.699997
607.2	6.22258
610.7	5.415375
614.6	6.370209
618.2	5.800003
621.7	5.600006
625.2	5.400009
628.7	5.711426
633.8	5.4375
637.8	5.299988
641.3	4.944458
646	5.438477
650.8	5.177139
653.9	4.800003
657.5	5
662.7	5.223083
666.6	4.955566
669.8	4.600006
673.8	5.350006
678.6	5.199997
682.2	4.488907
686.2	5.087509
689.4	4.339996
694.6	4.833328
697.8	4.275009
701.9	4.5
705.1	4.699997
707.5	4.699997
709.1	4.499985
709.9	4.300003
710.7	3.799988
711.1	3.799988
711.5	3.899994
712	3.699997
712.4	4
712.8	3.799988
712.8	4.100006
712.8	4.100006
712.8	4.100006
712.8	4.300003
712.4	3.900009
712.4	4.100006
712	3.800003
711.1	4.199997
709.9	3.800003
707.9	4.350006
705.9	4
703.1	4.233322
699.8	3.800003
697.4	3.900009
694.2	3.987503
690.6	3.900009
687	4.299988
683.4	2.842834
679.4	5.100006
675.8	4.049988
672.6	3.475037
668.6	7.399994
665	6.300018
661.9	6.188583
658.7	6.566666
655.1	6.46666
652.4	5.800003
648.8	6.566666
644.9	6.100006
641.3	6.482361
638.2	6.099991
634.6	5.699997
631.5	6.729996
628.3	6.169998
624.8	5.431915
620.9	6.068573
617	5.968582
613.5	5.661545
610	5.700012
606.8	5.682861
603.7	4.914902
600.2	5
594.4	5.012909
590.6	5.100021
587.5	5.011642
583.6	5.100006
578.6	4.928253
575.1	4.599991
571.7	1.004227
567.4	6.600021
563.2	7.399994
559.4	7.399994
555.2	7.900009
550.6	7.671402
546.4	7.026108
541.9	7.691162
538.1	7.5
534.3	7.767639
531.2	7.578934
527.5	7.600006
524.4	7.500015
520.7	8.373535
516.9	8.199997
512.4	8.235291
508.2	8.399994
504.9	8.400009
501.5	8.800003
498.5	8.511765
495.1	9.02684
491.8	8.87059
488.8	8.245453
485	8.648911
481.7	8.273331
477.6	9.092682
473.5	9.050003
469.1	8.697281
465.4	9.731705
461.7	8.863617
458.3	9.841476
455	9.100006
451	9.800003
447.3	9.599991
443.2	10.34148
438.8	9.950012
435.5	10
431.5	10.76817
427.5	10.52812
423.1	11.49092
419.5	11.2291
415.8	11.2
412.2	12.17999
408.2	10.50999
404.2	10.25455
399.8	10.57777
397	9.867981
392.3	10.86363
388.6	11.37001
385	10.60001
380	10.89999
375.7	11.24167
371.8	10.7625
367.5	11.06561
363.2	11.40001
359.6	11.29999
355.7	11.31714
352.1	11.6889
348.5	11.98888
343.6	11.85938
340	12.13844
336.5	12.10001
332.2	12.10001
329	12.05626
325.5	12.22499
322.3	11.78065
318.4	12.4231
314.2	12
311.1	12.89999
307.2	12.2
303.7	13.39999
299.5	12.63428
295.6	13.82001
292.5	12.91577
286.2	13.34001
283.1	13.25482
279.6	13.68001
275.1	13.49998
271.6	13.49211
267.4	13.57097
263.6	14.04572
259.8	13.45526
256.7	13.79999
253.3	13.42258
249.8	14.06451
245.7	13.66774
242.6	14
239.5	13.96774
236.1	13.86774
232.3	13.56891
228.9	13.56451
225.5	13.73235
222.4	13.42592
219	13.62059
215.9	13.31708
212.5	13.7
209.4	13.38666
206	13.20322
202.3	13.63
199.6	13.03226
196.2	13.72058
193.5	13.26665
190.4	13.7
186.4	13.97742
183	13.56667
180	13.3
176.9	13.40001
174.3	13.10001
171.2	13.60001
166.9	13.7
163.8	13.5
160.8	13.39999
157.1	13.30002
153.8	13.57666
150.5	13.37407
146.8	13.60001
143.8	13
140.8	13.69002
137.8	13.39999
134.5	13.65833
131.5	13.23845
128.8	12.97391
125.5	13.30002
122.9	13.5
119.9	13.59999
117.2	13.39999
114.6	13.535
111.6	13.27693
109.3	13.6261
106.7	13.37694
104.4	13.39999
101.1	13.7
98.5	13.64349
96.2	13.73499
93.5	13.90002
91.2	13.43997
88.6	14.11305
86	13.62999
84	13.86316
81.8	13.75999
79.8	13.76088
77.5	14.59998
75.2	13.42728
73.3	13.90001
71.3	13.49998
69.4	14.30527
67.4	13.52353
65.8	14.125
63.5	13.825
61.9	14.34
59.9	13.96249
58	14.14001
55.4	14.09999
52.1	14.09999
