TEMP	TSUSC	CSUSC	NSUSC	BULKS	FERRT	FERRB	TIME	EMPFUR
26.6	-168.5	9.42	0.004	0	0	0	0	0
30.7	-168.8	9.12	0.004	0	0	0	26	0
37.6	-168.9	9.02	0.004	0	0	0	52	0
44.8	-169.1	8.82	0.004	0	0	0	78	0
51.6	-169.4	8.52	0.003	0	0	0	104	5
58.2	-169.4	8.55	0.003	0	0	0	129	0/1200
64.9	-169.8	8.19	0.003	0	0	0	155	0
70.9	-169.9	8.1	0.003	0	0	0	180	0
76.7	-170.1	7.94	0.003	0	0	0	206	0
82.6	-170.2	7.84	0.003	0	0	0	232	0
88.3	-170.2	7.89	0.003	0	0	0	257	0
94.1	-170.5	7.6	0.003	0	0	0	283	0
99.5	-170.5	7.67	0.003	0	0	0	308	0
105.5	-170.8	7.44	0.003	0	0	0	334	0
111.6	-170.8	7.45	0.003	0	0	0	360	0
117.9	-171	7.25	0.003	0	0	0	385	0
123.8	-171.2	7.09	0.003	0	0	0	411	0
129.7	-171.3	7.01	0.003	0	0	0	436	0
135.1	-171.2	7.11	0.003	0	0	0	462	0
140.5	-171.2	7.08	0.003	0	0	0	488	
145.9	-171.5	6.8	0.003	0	0	0	514	
151.4	-171.8	6.5	0.003	0	0	0	539	
156.5	-171.7	6.61	0.003	0	0	0	565	22995.39
162	-171.9	6.42	0.003	0	0	0	590	25771.94
168.1	-172	6.41	0.003	0	0	0	616	18752
174.2	-172	6.4	0.003	0	0	0	642	1
180.1	-172.2	6.24	0.003	0	0	0	667	49
186.2	-172.2	6.34	0.003	0	0	0	693	524
192	-172.4	6.14	0.002	0	0	0	719	0
198	-172.4	6.15	0.003	0	0	0	744	0
204.2	-172.5	6.03	0.002	0	0	0	770	0
210.5	-172.5	6.05	0.002	0	0	0	795	0
216.8	-172.4	6.2	0.003	0	0	0	821	0
222.8	-172.7	5.89	0.002	0	0	0	847	0
229.3	-172.8	5.79	0.002	0	0	0	872	0
234.9	-172.8	5.78	0.002	0	0	0	898	0
241	-172.7	5.9	0.002	0	0	0	923	0
246.8	-171.9	6.72	0.003	0	0	0	949	0
252.4	-171.6	7.07	0.003	0	0	0	975	0
258	-170.9	7.82	0.003	0	0	0	1000	0
263.6	-170.4	8.31	0.003	0	0	0	1026	0
269.5	-170.1	8.63	0.004	0	0	0	1052	0
275.6	-169.8	8.93	0.004	0	0	0	1077	0
281.7	-169.3	9.46	0.004	0	0	0	1103	0
287.9	-168.8	9.98	0.004	0	0	0	1129	0
293.6	-167.9	10.88	0.004	0	0	0	1154	0
299.4	-167	11.8	0.005	0	0	0	1180	0
305.3	-166	12.8	0.005	0	0	0	1205	
311.5	-165	13.84	0.006	0	0	0	1231	
318	-163.7	15.13	0.006	0	0	0	1257	
324.2	-161.9	16.94	0.007	0	0	0	1282	
330.4	-159.5	19.37	0.008	0	0	0	1308	
336.4	-156.2	22.66	0.009	0	0	0	1334	
342.2	-152.7	26.22	0.011	0	0	0	1360	
347.8	-149	29.93	0.012	0	0	0	1385	
353.7	-145.3	33.65	0.014	0	0	0	1411	
359.4	-141.3	37.7	0.015	0	0	0	1436	
365.4	-137	42	0.017	0	0	0	1462	
371.1	-132.6	46.46	0.019	0	0	0	1488	
376.9	-128.1	50.97	0.021	0	0	0	1513	
383.2	-123	56.08	0.023	0	0	0	1539	
389	-117.9	61.25	0.025	0	0	0	1565	
395.1	-112.7	66.46	0.027	0	0	0	1591	
400.3	-107.6	71.61	0.029	0	0	0	1616	
406.3	-101.8	77.43	0.032	0	0	0	1642	
412.4	-96.2	82.99	0.034	0	0	0	1668	
418.1	-90.9	88.34	0.036	0	0	0	1694	
424.1	-85.7	93.54	0.038	0	0	0	1720	
430.1	-80.4	98.91	0.04	0	0	0	1745	
435.4	-75.5	103.8	0.042	0	0	0	1771	
440.8	-71.1	108.21	0.044	0	0	0	1797	
446.9	-66.7	112.61	0.046	0	0	0	1823	
452.8	-62.2	117.14	0.048	0	0	0	1849	
458.1	-58.2	121.23	0.049	0	0	0	1874	
463.4	-54.2	125.19	0.051	0	0	0	1900	
469.4	-49.9	129.52	0.053	0	0	0	1926	
475	-45.5	133.94	0.055	0	0	0	1952	
480.7	-41.2	138.23	0.056	0	0	0	1977	
486.1	-36.3	143.23	0.058	0	0	0	2003	
491.5	-30.8	148.75	0.061	0	0	0	2029	
497.3	-24.5	155.11	0.063	0	0	0	2054	
502.9	-17.6	162.05	0.066	0	0	0	2080	
508.3	-10.5	169.14	0.069	0	0	0	2106	
514.3	-2.5	177.21	0.072	0	0	0	2132	
519.5	6.4	186.13	0.076	0	0	0	2157	
524.8	17.8	197.55	0.08	0	0	0	2183	
