  TEMP    TSUSC     CSUSC NSUSC       BULKS    FERRT    FERRB   TIME         
  22.3   1661.0   1839.18 0.527         0.0      0.0      0.0      0      0.0
  27.0   1676.7   1854.88 0.532         0.0      0.0      0.0     28    0.000
  34.2   1695.5   1873.72 0.537         0.0      0.0      0.0     54    0.000
  41.8   1716.0   1894.28 0.543         0.0      0.0      0.0     81    0.000
  49.0   1736.8   1915.04 0.549         0.0      0.0      0.0    108        5
  56.0   1756.4   1934.52 0.555         0.0      0.0      0.0    134   0/1200
  62.6   1774.5   1952.51 0.560         0.0      0.0      0.0    161        0
  68.9   1792.1   1970.11 0.565         0.0      0.0      0.0    187        0
  74.8   1811.8   1989.98 0.570         0.0      0.0      0.0    214        0
  80.5   1833.1   2011.12 0.577         0.0      0.0      0.0    241     0.00
  86.3   1856.1   2034.12 0.583         0.0      0.0      0.0    269     0.00
  92.0   1879.0   2057.20 0.590         0.0      0.0      0.0    295     0.00
  97.2   1903.4   2081.54 0.597         0.0      0.0      0.0    322     0.00
 102.8   1931.7   2109.89 0.605         0.0      0.0      0.0    349     0.00
 108.2   1964.3   2142.48 0.614         0.0      0.0      0.0    377     0.00
 113.6   1995.0   2173.28 0.623         0.0      0.0      0.0    404     0.00
 118.2   2027.6   2205.99 0.632         0.0      0.0      0.0    431     0.00
 123.6   2064.5   2242.69 0.643         0.0      0.0      0.0    458     0.00
 128.9   2104.2   2282.14 0.654         0.0      0.0      0.0    485     0.00
 134.5   2150.2   2328.04 0.667         0.0      0.0      0.0    511         
 140.2   2204.8   2382.78 0.683         0.0      0.0      0.0    538         
 145.9   2263.3   2441.37 0.700         0.0      0.0      0.0    565         
 151.6   2313.4   2492.20 0.714         0.0      0.0      0.0    591  -12.196
 157.5   2361.7   2540.57 0.728         0.0      0.0      0.0    618  -89.984
 163.6   2404.8   2583.34 0.741         0.0      0.0      0.0    645      -43
 169.6   2446.7   2625.19 0.753         0.0      0.0      0.0    672    -1.00
 175.6   2489.5   2667.90 0.765         0.0      0.0      0.0    699       41
 181.7   2532.1   2710.13 0.777         0.0      0.0      0.0    726      325
 188.1   2575.1   2753.41 0.789         0.0      0.0      0.0    752        0
 194.6   2619.4   2797.52 0.802         0.0      0.0      0.0    779    0.000
 201.1   2663.7   2841.90 0.815         0.0      0.0      0.0    805    0.000
 207.5   2707.5   2885.81 0.827         0.0      0.0      0.0    832        0
 214.1   2752.4   2930.37 0.840         0.0      0.0      0.0    859     0.00
 220.8   2792.1   2970.25 0.852         0.0      0.0      0.0    885        0
 227.5   2833.5   3011.76 0.863         0.0      0.0      0.0    912        0
 233.9   2875.7   3054.01 0.876         0.0      0.0      0.0    939        0
 240.4   2917.1   3095.70 0.887         0.0      0.0      0.0    967        0
 246.9   2960.1   3138.77 0.900         0.0      0.0      0.0    994      0.0
 253.4   3000.1   3179.07 0.911         0.0      0.0      0.0   1021      0.0
 259.6   3037.8   3216.12 0.922         0.0      0.0      0.0   1049      0.0
 265.7   3072.9   3251.19 0.932         0.0      0.0      0.0   1076      0.0
 272.0   3113.6   3291.99 0.944         0.0      0.0      0.0   1104      0.0
 278.8   3150.8   3328.86 0.954         0.0      0.0      0.0   1131      0.0
 285.7   3185.9   3364.48 0.965         0.0      0.0      0.0   1159      0.0
 292.2   3218.8   3397.35 0.974         0.0      0.0      0.0   1186      0.0
 299.0   3248.6   3427.20 0.983         0.0      0.0      0.0   1213      0.0
 305.3   3269.6   3448.20 0.989         0.0      0.0      0.0   1240      0.0
 311.6   3288.4   3467.05 0.994         0.0      0.0      0.0   1268         
 317.8   3298.7   3477.61 0.997         0.0      0.0      0.0   1295         
 324.6   3307.7   3486.38 0.999         0.0      0.0      0.0   1322         
 330.9   3309.4   3488.18 1.000         0.0      0.0      0.0   1350         
 337.3   3302.9   3481.53 0.998         0.0      0.0      0.0   1377         
 344.1   3295.4   3474.06 0.996         0.0      0.0      0.0   1405         
 350.6   3279.4   3458.36 0.991         0.0      0.0      0.0   1432         
 356.8   3257.6   3436.50 0.985         0.0      0.0      0.0   1459         
