TEMP	TSUSC
30.8	15
31.1	15.3
35.2	15.2
40.9	15.2
46.9	15.1
52.9	15.1
58.6	15.1
64.3	15
69.8	15.2
74.8	15.1
80	15.1
84.7	15.3
89.5	15.1
94.2	15.4
98.7	15.6
103.2	15.8
107.4	16
111.9	16.1
116.1	16.1
119.6	16.1
123.8	16
128.1	16
132.3	15.9
136.9	15.8
141.4	16.1
146.2	15.8
151	15.8
156.1	15.8
161.5	15.9
167.4	15.9
173.3	16.2
178.7	16.2
184.4	16.3
189.6	16.1
195.3	16.2
201.3	16.4
207.2	16.5
213.3	16.6
219	17
224.5	21.1
230.5	60.4
236.3	177.9
241.5	290.9
246.5	354.3
251.7	392.7
257.3	419
263.1	441.5
268.4	455.2
273.9	467
278.7	476.7
284	483.2
289.9	489.3
295.7	492.2
301.6	495.5
307	496.8
312.6	497.1
318	494.3
323.9	494
329.9	494.4
335.3	494.3
340.7	494.7
346.1	493.6
351.8	492.4
356.9	492.5
362.7	491.8
367.8	490.1
373.3	489.3
378.8	487.6
384	488
389.2	489.5
394.7	488.9
400.5	489.4
406.6	491.9
412.4	493.1
417.4	495.3
422.6	498.9
427.9	501.5
433.2	505.6
438.5	509.1
443.8	515.1
449.1	522.8
453.8	530.3
458.5	540.8
464.2	549.5
468.6	561.7
474.3	573.7
479.4	584.8
484.4	597.9
489.8	607
495.8	616.9
501.2	623.1
506.6	627.6
511.8	630.9
517.2	629.4
522.3	619.8
527.5	607
531.7	589.8
536.9	558.7
542.4	520.6
547	476.8
552.5	421.6
557.1	374.8
561.7	327.6
566.3	279.5
571.5	234.1
577.1	198.8
582.3	171.2
588.5	151.4
593.5	136.1
599.1	122.7
604.7	110.4
610	98
615.3	86.6
621	77.3
625.4	67.8
629.8	59.5
635.4	50.3
640.5	40.8
647.1	32.3
650.9	26.2
656	20.3
661.4	15.7
665.9	11.7
670.7	8.1
675.8	5.4
682.8	3.4
688.9	2
693.4	1.1
695.7	0.6
698.6	0.2
701.2	0.4
702.5	0.4
700.9	0
702.2	0.2
701.2	0
700.2	0.5
697	0.7
692.2	1.2
689.9	1.7
686.4	2.1
682.5	3.2
679.3	4.3
674.8	5.7
671.6	7.4
667.2	9.5
662.4	12.2
658.6	15.2
654.1	19.2
649.7	24.6
645.5	29.3
642.4	34.9
638.3	41
633.9	48.6
628.5	58.3
624.7	67.6
619.7	77.3
615.3	87.4
611.6	98.6
607.5	110.6
602.5	123.5
597.8	137.9
593.5	154.5
588.5	174.4
583.6	199.4
578.9	228.5
573.7	263.4
569.4	299.2
563.8	336.3
559.5	382.6
554.3	445.8
549.1	508.7
543	573.6
537.8	627.7
533	676.8
527.8	713.5
522.6	748.8
517.5	775.4
512.4	794.9
507.5	807.7
502.7	815.5
498.2	823
494	824.5
489.2	826.3
484.1	822.8
479.1	820
474.3	814.9
469.5	807.5
464.2	799.7
458.8	791.2
453.5	781.6
448.2	771.9
442.6	761.7
436.7	748.6
430.8	735.9
425.6	725.3
420.3	713.9
414.7	703.4
409.2	692.3
404.3	685.3
398.4	677.1
393.2	670.5
387.7	663.3
382.2	657.3
376.5	651
371	642.7
365.8	635.7
360.1	627.7
354.9	619.5
349.5	612.5
344.7	605.6
339.2	596.6
333.8	589.3
328.5	580.2
322.8	571.5
317.4	558.9
311.8	549.9
306.4	540.7
300.8	531.7
295.7	523.6
291	515.5
285.4	510.2
280.6	504.8
275.6	499.2
270	495.8
265	491.7
259.5	488.6
254.2	484.7
248.4	481.3
242.6	476.6
236.6	468.8
230.2	465.1
224.5	461.3
219	455.8
213.3	450.6
207.5	445.8
202.6	443.6
197.2	438.4
192	435.9
186.6	432.9
181.7	429.6
176.9	427.3
171.7	425.3
167.1	423
162.6	421.6
158	419.6
152.9	418.4
147.8	417.3
142.7	416
137.4	414.9
132.6	414.3
127.5	413.8
123	414.6
118.2	414.7
113.5	414.2
109.2	414.3
104.8	413.1
100.5	414.8
96.6	415.3
92.9	415.2
