  TEMP    TSUSC     CSUSC NSUSC       BULKS    FERRT    FERRB   TIME   jrpnew
  27.0   -168.6      4.98 0.018         0.0      0.0      0.0      0      0.0
  28.3   -169.3      4.28 0.016         0.0      0.0      0.0     24    0.000
  33.7   -169.4      4.18 0.015         0.0      0.0      0.0     47    0.000
  40.4   -168.6      4.98 0.018         0.0      0.0      0.0     69    0.000
  47.4   -168.7      4.88 0.018         0.0      0.0      0.0     92        5
  53.9   -169.4      4.18 0.015         0.0      0.0      0.0    115   0/1200
  59.9   -169.4      4.18 0.015         0.0      0.0      0.0    138        0
  65.9   -169.3      4.27 0.016         0.0      0.0      0.0    161        0
  71.4   -169.5      4.06 0.015         0.0      0.0      0.0    183        0
  76.9   -169.5      4.11 0.015         0.0      0.0      0.0    206     0.00
  81.9   -169.7      3.90 0.014         0.0      0.0      0.0    229     0.00
  87.1   -169.6      3.99 0.015         0.0      0.0      0.0    252     0.00
  91.8   -169.7      3.92 0.014         0.0      0.0      0.0    274     0.00
  96.6   -170.7      2.92 0.011         0.0      0.0      0.0    297     0.00
 101.8   -169.1      4.50 0.017         0.0      0.0      0.0    320     0.00
 106.6   -169.9      3.72 0.014         0.0      0.0      0.0    343     0.00
 111.4   -169.9      3.74 0.014         0.0      0.0      0.0    366     0.00
 116.7   -169.7      3.92 0.014         0.0      0.0      0.0    388     0.00
 122.0   -169.6      4.15 0.015         0.0      0.0      0.0    411     0.00
 127.0   -169.8      3.91 0.014         0.0      0.0      0.0    434         
 131.8   -169.7      4.04 0.015         0.0      0.0      0.0    457         
 136.9   -169.9      3.86 0.014         0.0      0.0      0.0    480         
 141.7   -169.9      3.76 0.014         0.0      0.0      0.0    503 3488.424
 146.5   -171.2      2.56 0.009         0.0      0.0      0.0    526 4175.435
 151.0   -170.2      3.55 0.013         0.0      0.0      0.0    548     2436
 156.4   -169.7      4.13 0.015         0.0      0.0      0.0    571     0.91
 161.2   -170.5      3.36 0.012         0.0      0.0      0.0    594       40
 166.6   -170.4      3.39 0.013         0.0      0.0      0.0    617      345
 171.7   -170.3      3.53 0.013         0.0      0.0      0.0    639        0
 177.1   -170.3      3.52 0.013         0.0      0.0      0.0    662    0.000
 182.3   -170.1      3.85 0.014         0.0      0.0      0.0    685    0.000
 187.7   -170.0      4.00 0.015         0.0      0.0      0.0    708        0
 192.6   -170.2      3.84 0.014         0.0      0.0      0.0    731     0.00
 197.7   -170.3      3.78 0.014         0.0      0.0      0.0    753        0
 202.9   -170.8      3.22 0.012         0.0      0.0      0.0    776        0
 208.6   -170.4      3.73 0.014         0.0      0.0      0.0    799        0
 214.3   -170.5      3.68 0.014         0.0      0.0      0.0    822        0
 219.8   -170.7      3.50 0.013         0.0      0.0      0.0    844      0.0
 225.8   -170.4      3.81 0.014         0.0      0.0      0.0    867      0.0
 231.9   -170.2      4.01 0.015         0.0      0.0      0.0    890      0.0
 237.7   -170.0      4.22 0.016         0.0      0.0      0.0    913      0.0
 243.2   -168.0      6.20 0.023         0.0      0.0      0.0    936      0.0
 248.4   -163.6     10.60 0.039         0.0      0.0      0.0    958      0.0
 253.4   -159.1     15.06 0.056         0.0      0.0      0.0    981      0.0
 258.9   -156.2     17.90 0.066         0.0      0.0      0.0   1004      0.0
 264.5   -155.1     19.05 0.070         0.0      0.0      0.0   1027      0.0
 269.8   -154.0     20.11 0.074         0.0      0.0      0.0   1049      0.0
 275.6   -153.2     20.92 0.077         0.0      0.0      0.0   1072         
 280.3   -152.5     21.60 0.080         0.0      0.0      0.0   1095         
 285.1   -151.5     22.66 0.084         0.0      0.0      0.0   1118         
 290.7   -150.8     23.38 0.086         0.0      0.0      0.0   1140         
 296.0   -149.9     24.35 0.090         0.0      0.0      0.0   1163         
 301.1   -148.5     25.82 0.095         0.0      0.0      0.0   1186         
 306.7   -149.1     25.29 0.093         0.0      0.0      0.0   1209         
 312.1   -148.2     26.19 0.097         0.0      0.0      0.0   1232         
 317.7   -147.2     27.24 0.101         0.0      0.0      0.0   1254         
 323.4   -146.3     28.17 0.104         0.0      0.0      0.0   1277         
 328.7   -145.6     28.94 0.107         0.0      0.0      0.0   1299         
 333.8   -145.0     29.49 0.109         0.0      0.0      0.0   1322         
 339.2   -143.5     30.98 0.114         0.0      0.0      0.0   1345         
 344.4   -141.9     32.57 0.120         0.0      0.0      0.0   1368         
 350.1   -140.0     34.50 0.127         0.0      0.0      0.0   1391         
 355.2   -137.4     37.06 0.137         0.0      0.0      0.0   1414         
 360.7   -133.9     40.53 0.150         0.0      0.0      0.0   1437         
 366.1   -129.9     44.51 0.164         0.0      0.0      0.0   1460         
 371.0   -125.6     48.88 0.180         0.0      0.0      0.0   1483         
