TEMP	TSUSC	CSUSC	NSUSC	BULKS	FERRT	FERRB	TIME
25.3	-171.6	0	0	0	0	0	0
29.4	-171.6	0	0	0	0	0	27
35.4	-171.8	0	0	0	0	0	53
42	-172.1	0	0	0	0	0	78
48.7	-171.7	0	0	0	0	0	104
55.6	-171.8	0	0	0	0	0	130
62.2	-171.7	0	0	0	0	0	156
68.6	-171.9	0	0	0	0	0	181
74.5	-171.6	0	0	0	0	0	207
80.3	-171.6	0	0	0	0	0	232
85.8	-171.8	0	0	0	0	0	258
90.9	-171.7	0	0	0	0	0	284
96.2	-171.9	0	0	0	0	0	310
101.5	-171.8	0	0	0	0	0	335
104.8	-171.6	0	0	0	0	0	361
105.1	-171.6	0	0	0	0	0	387
105.5	-171.7	0	0	0	0	0	413
105.5	-171.9	0	0	0	0	0	593
105.7	-171.8	0	0	0	0	0	567
105.8	-171.7	0	0	0	0	0	516
105.8	-171.7	0	0	0	0	0	541
105.8	-171.9	0	0	0	0	0	618
106.2	-171.6	0	0	0	0	0	439
106.3	-171.9	0	0	0	0	0	644
107	-171.6	0	0	0	0	0	490
107.7	-171.9	0	0	0	0	0	464
107.9	-171.8	0	0	0	0	0	670
108.6	-172	0	0	0	0	0	696
120.4	-171.9	0	0	0	0	0	722
141	-171.7	0	0	0	0	0	747
159.2	-171.4	0	0	0	0	0	773
174.3	-171.2	0	0	0	0	0	799
188.2	-171.1	0	0	0	0	0	825
200.2	-170.3	0	0	0	0	0	850
204.2	-169.3	0	0	0	0	0	876
213	-168.1	0	0	0	0	0	902
222.6	-166.8	0	0	0	0	0	928
231.7	-165.6	0	0	0	0	0	953
239.7	-164.7	0	0	0	0	0	979
246.9	-163.9	0	0	0	0	0	1005
254.4	-162.9	0	0	0	0	0	1031
261.6	-162.4	0	0	0	0	0	1057
268.8	-162.1	0	0	0	0	0	1083
275.7	-161.5	0	0	0	0	0	1108
282.6	-161.3	0	0	0	0	0	1134
289.2	-161.3	0	0	0	0	0	1160
295.5	-161.1	0	0	0	0	0	1186
301.9	-161.7	0	0	0	0	0	1212
308.1	-161.7	0	0	0	0	0	1238
313.9	-162.3	0	0	0	0	0	1263
319.7	-163.1	0	0	0	0	0	1289
325.3	-163.8	0	0	0	0	0	1315
330.4	-164.7	0	0	0	0	0	1341
336.1	-165.9	0	0	0	0	0	1366
341.5	-167.2	0	0	0	0	0	1392
347.8	-168.3	0	0	0	0	0	1418
354.5	-169.4	0	0	0	0	0	1443
360.8	-170.3	0	0	0	0	0	1469
366.5	-170.6	0	0	0	0	0	1495
372.3	-171.1	0	0	0	0	0	1521
377.8	-171.2	0	0	0	0	0	1547
383.8	-171.3	0	0	0	0	0	1572
389.2	-171.1	0	0	0	0	0	1598
394.7	-171.3	0	0	0	0	0	1624
399.9	-171.5	0	0	0	0	0	1650
404.8	-171.2	0	0	0	0	0	1676
410.2	-171.4	0	0	0	0	0	1701
415.8	-171.2	0	0	0	0	0	1727
421	-171.2	0	0	0	0	0	1753
426.3	-170.8	0	0	0	0	0	1779
432.2	-170.6	0	0	0	0	0	1804
438	-170	0	0	0	0	0	1830
443.2	-169.3	0	0	0	0	0	1856
448.9	-168.5	0	0	0	0	0	1882
455.1	-167.1	0	0	0	0	0	1908
461.4	-165.8	0	0	0	0	0	1934
467	-163.7	0	0	0	0	0	1959
472.9	-162.2	0	0	0	0	0	1985
478.5	-159.9	0	0	0	0	0	2011
484.3	-157.4	0	0	0	0	0	2036
490	-154.7	0	0	0	0	0	2062
496	-151.8	0	0	0	0	0	2088
501.5	-148.5	0	0	0	0	0	2113
506.9	-145.5	0	0	0	0	0	2139
511.9	-143.2	0	0	0	0	0	2165
517	-140.6	0	0	0	0	0	2191
523.1	-138.2	0	0	0	0	0	2216
529.2	-137.4	0	0	0	0	0	2242
534.9	-137.4	0	0	0	0	0	2268
540.4	-137.8	0	0	0	0	0	2294
546.1	-139.8	0	0	0	0	0	2320
551.3	-141.9	0	0	0	0	0	2345
557.2	-146.7	0	0	0	0	0	2371
563.5	-152.3	0	0	0	0	0	2397
569.8	-158.2	0	0	0	0	0	2423
575.2	-164	0	0	0	0	0	2448
580.3	-169.3	0	0	0	0	0	2474
585.4	-172.8	0	0	0	0	0	2500
590.7	-174.5	0	0	0	0	0	2526
596	-175.1	0	0	0	0	0	2551
601.1	-175.7	0	0	0	0	0	2577
606.3	-175.7	0	0	0	0	0	2603
611.6	-175.8	0	0	0	0	0	2629
617.7	-176.2	0	0	0	0	0	2654
622.7	-176.3	0	0	0	0	0	2680
626.5	-176.2	0	0	0	0	0	2706
629.1	-176.5	0	0	0	0	0	2731
630.4	-176.4	0	0	0	0	0	2756
630.1	-176.1	0	0	0	0	0	2782
628.3	-176.2	0	0	0	0	0	2807
626	-176.1	0	0	0	0	0	2833
622.8	-175.8	0	0	0	0	0	2859
619.2	-175.9	0	0	0	0	0	2885
615.8	-175.7	0	0	0	0	0	2911
612.2	-175.6	0	0	0	0	0	2936
608.3	-175.3	0	0	0	0	0	2962
603.8	-175	0	0	0	0	0	2987
599.7	-174.9	0	0	0	0	0	3013
594.4	-173.4	0	0	0	0	0	3039
589.1	-171	0	0	0	0	0	3065
584.5	-164.6	0	0	0	0	0	3090
580	-154.9	0	0	0	0	0	3116
575.1	-143.4	0	0	0	0	0	3142
570	-134	0	0	0	0	0	3167
564.8	-126.1	0	0	0	0	0	3193
559.1	-119.3	0	0	0	0	0	3219
554.5	-114.4	0	0	0	0	0	3245
549.6	-110.8	0	0	0	0	0	3270
545	-107.5	0	0	0	0	0	3296
540	-104.9	0	0	0	0	0	3322
534.8	-102.8	0	0	0	0	0	3348
529.3	-102.4	0	0	0	0	0	3374
524.2	-102.6	0	0	0	0	0	3399
518.3	-103.1	0	0	0	0	0	3425
513	-103.6	0	0	0	0	0	3451
507.8	-104.5	0	0	0	0	0	3477
502.3	-105.2	0	0	0	0	0	3503
496.4	-106.3	0	0	0	0	0	3528
491	-106.9	0	0	0	0	0	3554
485.5	-108.1	0	0	0	0	0	3580
480	-108.6	0	0	0	0	0	3606
475	-109.5	0	0	0	0	0	3631
470.1	-110.4	0	0	0	0	0	3657
465.1	-111.1	0	0	0	0	0	3683
459.7	-112.1	0	0	0	0	0	3708
454.7	-112.6	0	0	0	0	0	3734
449.5	-113.5	0	0	0	0	0	3760
443.9	-114.2	0	0	0	0	0	3786
438.5	-115.4	0	0	0	0	0	3812
432.7	-115.9	0	0	0	0	0	3837
427.2	-116.6	0	0	0	0	0	3863
421.6	-117.2	0	0	0	0	0	3889
416.2	-118.1	0	0	0	0	0	3914
410.9	-118.7	0	0	0	0	0	3940
404.8	-119.5	0	0	0	0	0	3966
398.7	-119.9	0	0	0	0	0	3992
393.2	-120.5	0	0	0	0	0	4017
387.6	-121.2	0	0	0	0	0	4043
382.1	-121.5	0	0	0	0	0	4069
376.5	-122.1	0	0	0	0	0	4095
371.3	-122.8	0	0	0	0	0	4121
366.1	-122.9	0	0	0	0	0	4146
360.8	-123.7	0	0	0	0	0	4172
355.4	-123.9	0	0	0	0	0	4198
349.7	-124.6	0	0	0	0	0	4224
343.4	-125	0	0	0	0	0	4250
338	-125.5	0	0	0	0	0	4275
332.1	-125.9	0	0	0	0	0	4301
326.9	-126.4	0	0	0	0	0	4327
321.8	-126.8	0	0	0	0	0	4352
315.9	-127.4	0	0	0	0	0	4378
309.5	-127.7	0	0	0	0	0	4404
303.5	-127.9	0	0	0	0	0	4430
297.6	-128.6	0	0	0	0	0	4455
291.7	-128.8	0	0	0	0	0	4481
286.4	-129.4	0	0	0	0	0	4507
280.6	-129.8	0	0	0	0	0	4532
275.5	-130.3	0	0	0	0	0	4558
269.8	-130.6	0	0	0	0	0	4584
264.1	-130.6	0	0	0	0	0	4610
258.5	-131.1	0	0	0	0	0	4636
252.6	-131.2	0	0	0	0	0	4662
246.6	-131.9	0	0	0	0	0	4687
240.7	-132.2	0	0	0	0	0	4713
234.8	-132.4	0	0	0	0	0	4739
228.9	-132.7	0	0	0	0	0	4765
222.6	-132.9	0	0	0	0	0	4791
216.5	-133.2	0	0	0	0	0	4817
210.5	-133.6	0	0	0	0	0	4843
204.9	-133.8	0	0	0	0	0	4869
199.2	-133.7	0	0	0	0	0	4895
193.5	-134.5	0	0	0	0	0	4921
187.3	-134.1	0	0	0	0	0	4947
180.4	-134.4	0	0	0	0	0	4972
174.3	-134.4	0	0	0	0	0	4998
168.6	-134.4	0	0	0	0	0	5024
163.5	-134.5	0	0	0	0	0	5050
158.1	-134.7	0	0	0	0	0	5075
153.2	-134.5	0	0	0	0	0	5101
148	-134.7	0	0	0	0	0	5127
142.9	-134.6	0	0	0	0	0	5153
137.7	-134.6	0	0	0	0	0	5178
132.7	-134.6	0	0	0	0	0	5204
127.7	-134.7	0	0	0	0	0	5230
122.6	-134.6	0	0	0	0	0	5256
117.9	-134.6	0	0	0	0	0	5281
